unique_values,counts
296,442
356,441
318,402
2571,329
260,230
39,219
1200,214
1265,204
1136,199
2716,197
1240,196
593,186
79132,182
253,163
2959,155
733,143
7361,137
2329,135
10,129
1196,126
293,126
454,116
150,107
339,106
457,104
60069,102
116797,96
48516,96
104,95
592,87
4993,77
7153,73
1704,69
2918,67
68954,62
50,54
442,34
109487,30
1197,28
597,25
34,19
223,17
6377,14
1221,13
110,12
1097,10
1291,9
3147,5
316,4
541,4
589,3
4886,3
1682,1
6,1
3793,1
111,1
