MovieID,Title,Genres,Count,List Index,Recommendation Score
356,Forrest Gump (1994),Comedy|Drama|Romance|War,329.0,120,0.6502186
318,"Shawshank Redemption, The (1994)",Crime|Drama,317.0,105,0.57444215
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,307.0,97,0.59868777
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,279.0,184,0.55971324
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,278.0,614,0.6547524
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,251.0,84,0.63645196
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,238.0,154,0.46505728
110,Braveheart (1995),Action|Drama|War,237.0,39,0.49000156
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,224.0,181,0.40131265
527,Schindler's List (1993),Drama|War,220.0,165,0.45016533
2959,Fight Club (1999),Action|Crime|Drama|Thriller,218.0,674,0.51998836
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,215.0,0,0.445221
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,211.0,306,0.5986868
2858,American Beauty (1999),Drama|Romance,204.0,660,0.48001024
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,204.0,26,0.45016623
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,203.0,24,0.39174077
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,202.0,215,0.40131196
150,Apollo 13 (1995),Adventure|Drama|IMAX,201.0,45,0.28905058
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,200.0,308,0.49999914
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,198.0,881,0.35893148
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,196.0,317,0.47003528
858,"Godfather, The (1972)",Crime|Drama,192.0,230,0.46505627
457,"Fugitive, The (1993)",Thriller,190.0,148,0.36818796
